"Wavelength (nm)"	"Reflectance (%)"
995.81	9.1174
996.48	9.2083
997.15	9.3011
997.81	9.3961
998.48	9.4929
999.15	9.5922
999.82	9.6932
1000.48	9.7951
1001.15	9.8994
1001.82	10.0015
1002.48	10.1002
1003.15	10.1962
1003.82	10.2923
1004.48	10.386
1005.15	10.4803
1005.82	10.5743
1006.48	10.6678
1007.15	10.7671
1007.82	10.8659
1008.48	10.9665
1009.15	11.0662
1009.81	11.1678
1010.48	11.2714
1011.15	11.3775
1011.81	11.4892
1012.48	11.5997
1013.14	11.7111
1013.81	11.8224
1014.47	11.9343
1015.14	12.0459
1015.8	12.155
1016.47	12.2685
1017.13	12.3847
1017.8	12.5035
1018.46	12.6202
1019.13	12.7406
1019.79	12.862
1020.46	12.9818
1021.12	13.1011
1021.79	13.2171
1022.45	13.3341
1023.11	13.4511
1023.78	13.5693
1024.44	13.6876
1025.11	13.8038
1025.77	13.9125
1026.43	14.0235
1027.1	14.1314
1027.76	14.2397
1028.42	14.3505
1029.09	14.4621
1029.75	14.575
1030.41	14.6902
1031.08	14.8076
1031.74	14.9222
1032.4	15.0399
1033.07	15.1553
1033.73	15.2708
1034.39	15.3909
1035.05	15.5106
1035.72	15.6328
1036.38	15.7549
1037.04	15.88
1037.7	16.0086
1038.37	16.1373
1039.03	16.2695
1039.69	16.3997
1040.35	16.5311
1041.01	16.6614
1041.68	16.7915
1042.34	16.9223
1043	17.0577
1043.66	17.1956
1044.32	17.3346
1044.98	17.4741
1045.64	17.6092
1046.3	17.736
1046.97	17.8616
1047.63	17.9872
1048.29	18.1112
1048.95	18.2336
1049.61	18.3548
1050.27	18.4746
1050.93	18.5966
1051.59	18.7156
1052.25	18.8275
1052.91	18.9368
1053.57	19.0473
1054.23	19.1541
1054.89	19.2612
1055.55	19.3698
1056.21	19.4781
1056.87	19.5871
1057.53	19.6966
1058.19	19.8066
1058.85	19.9156
1059.51	20.03
1060.16	20.1445
1060.82	20.2559
1061.48	20.3724
1062.14	20.4928
1062.8	20.6016
1063.46	20.7086
1064.12	20.818
1064.78	20.9271
1065.43	21.0328
1066.09	21.1307
1066.75	21.224
1067.41	21.3191
1068.07	21.4172
1068.72	21.5225
1069.38	21.6151
1070.04	21.7137
1070.7	21.815
1071.35	21.9025
1072.01	21.99
1072.67	22.0886
1073.33	22.1823
1073.98	22.281
1074.64	22.3785
1075.3	22.4795
1075.95	22.5919
1076.61	22.6984
1077.27	22.8014
1077.92	22.9132
1078.58	23.0082
1079.24	23.115
1079.89	23.2062
1080.55	23.298
1081.21	23.404
1081.86	23.5066
1082.52	23.5991
1083.17	23.7107
1083.83	23.8251
1084.48	23.9381
1085.14	24.0626
1085.8	24.161
1086.45	24.2908
1087.11	24.4134
1087.76	24.5187
1088.42	24.6387
1089.07	24.7456
1089.73	24.8651
1090.38	24.982
1091.03	25.0891
1091.69	25.1862
1092.34	25.3079
1093	25.394
1093.65	25.4557
1094.31	25.531
1094.96	25.5873
1095.61	25.6494
1096.27	25.7139
1096.92	25.7752
1097.58	25.836
1098.23	25.8866
1098.88	25.9389
1099.54	25.9819
1100.19	26.0191
1100.84	26.0532
1101.5	26.0927
